Author_ID	article_id
10	0
114	1
28	3
110	4
105	5
45	5
102	5
93	5
26	5
112	5
31	5
101	5
115	5
108	6
84	9
52	9
122	9
124	10
61	12
1	13
86	14
72	14
111	14
106	14
116	14
2	14
82	16
30	18
52	18
122	18
68	19
52	19
122	19
113	20
52	20
122	20
108	21
68	22
52	22
122	22
23	23
52	24
122	24
54	25
52	25
122	25
92	26
52	28
122	28
124	29
85	30
80	31
52	31
122	31
70	32
13	33
52	33
122	33
123	35
52	35
122	35
77	36
52	36
122	36
124	37
64	38
52	38
122	38
85	39
58	40
124	42
127	43
52	43
122	43
70	44
85	45
44	46
52	46
122	46
70	47
98	48
52	48
122	48
124	50
13	51
52	51
122	51
88	52
128	53
133	54
15	55
52	55
122	55
27	57
119	58
52	58
122	58
39	59
49	60
41	61
124	63
18	64
52	64
122	64
5	66
52	66
122	66
71	67
52	69
122	69
127	70
52	70
122	70
90	71
52	71
122	71
59	73
27	74
124	75
124	76
124	77
85	81
56	82
66	82
69	83
124	84
0	86
69	87
51	88
0	89
43	90
43	91
24	94
134	95
97	96
43	97
92	99
97	100
58	101
58	102
58	104
58	106
58	107
3	108
120	109
120	111
7	112
46	113
94	114
33	114
132	114
107	114
29	115
78	118
29	119
46	120
81	122
36	122
91	123
14	127
55	129
55	130
11	131
21	132
21	134
42	135
57	136
11	137
62	138
22	139
57	140
130	141
32	142
130	143
32	144
95	145
95	146
95	148
25	153
118	155
75	156
40	157
121	158
40	159
126	160
76	162
129	166
53	167
89	167
117	167
125	172
9	175
63	176
34	176
12	176
65	177
65	179
65	180
38	181
16	185
47	185
50	185
74	186
103	188
79	189
8	192
104	193
87	195
17	196
57	197
108	199
108	200
131	201
6	202
67	203
37	203
108	205
76	206
109	207
4	208
108	209
76	211
20	215
100	220
99	221
76	226
118	227
99	229
76	230
76	231
99	232
60	233
99	236
19	240
73	241
73	242
48	244
83	246
96	247
35	248
